"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"DATE","7","Admin","1","Interview Status","1","2011 Metro","PUF","Date of interview","HOUSEHOLD","Character","JDATE","","01012011 : 12312011: January 1, 2011 to December 31, 2011 (MMDDYYYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","2009 Metro","PUF","Date of interview","HOUSEHOLD","Character","JDATE","","01012009 : 12312009: January 1, 2009 to December 31, 2009 (MMDDYYYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","2007 Metro","PUF","Date of interview","HOUSEHOLD","Character","JDATE","","01012007 : 12312007: January 1, 2007 to December 31, 2007 (MMDDYYYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","2004 Metro","PUF","Date of interview","HOUSEHOLD","Character","JDATE","","01012004 : 12312004: January 1, 2004 to December 31, 2004 (MMDDYYYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","2002 Metro","PUF","Date of interview","HOUSEHOLD","Character","JDATE","","01012002 : 12312002: January 1, 2002 to December 31, 2002 (MMDDYYYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1998 Metro","PUF","Date of interview","HOUSEHOLD","Character","JDATE","","01011998 : 12311998: January 1, 1998 to December 31, 1998 (MMDDYYYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1996 Metro","PUF","Date of interview","Flat File","Numeric","","","196 : 1296: January 1996 to December 1996 (MMYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1995 National","PUF","Date of interview","Flat File","Numeric","","","1YY : 12YY: January 19YY to December 19YY (MMYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1995 Metro","PUF","Date of interview","Flat File","Numeric","","","195 : 1295: January 1995 to December 1995 (MMYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1994 Metro","PUF","Date of interview","Flat File","Numeric","","","194 : 1294: January 1994 to December 1994 (MMYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1993 National, 1991 National, 1989 National, 1987 National, 1985 National","PUF","Date of interview","Flat File","Numeric","","","MMYY: Month and year when interview completed","","","","","",
"DATE","7","Admin","1","Interview Status","1","1993 Metro","PUF","Date of interview","Flat File","Numeric","","","MMYY: Month and year when interview completed||193 : 1293: January 1993 to December 1993 (MMYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1992 Metro","PUF","Date of interview","Flat File","Numeric","","","192 : 1292: January 1992 to December 1992 (MMYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1991 Metro","PUF","Date of interview","Flat File","Numeric","","","MMYY: Month and year when interview completed||191 : 1291: January 1991 to December 1991 (MMYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1990 Metro","PUF","Date of interview","Flat File","Numeric","","","190 : 1290: January 1990 to December 1990 (MMYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1989 Metro","PUF","Date of interview","Flat File","Numeric","","","MMYY: Month and year when interview completed||189 : 1289: January 1989 to December 1989 (MMYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1988 Metro","PUF","Date of interview","Flat File","Numeric","","","188 : 1288: January 1988 to December 1988 (MMYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1987 Metro","PUF","Date of interview","Flat File","Numeric","","","MMYY: Month and year when interview completed||187 : 1287: January 1987 to December 1987 (MMYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1986 Metro","PUF","Date of interview","Flat File","Numeric","","","186 : 1286: January 1986 to December 1986 (MMYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1985 Metro","PUF","Date of interview","Flat File","Numeric","","","MMYY: Month and year when interview completed||185 : 1285: January 1985 to December 1985 (MMYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1984 Metro","PUF","Date of interview","Flat File","Numeric","","","184 : 1284: January 1984 to December 1984 (MMYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1983 National, 1981 National","PUF","Date of interview","Flat File","Numeric","","","101YY : 1231YY: January 1, 19YY to December 31, 19YY (MMDDYY)","","","","","",
"DATE","7","Admin","1","Interview Status","1","1983 Metro","PUF","Date of interview","Flat File","Numeric","","","MMDD98: Month and day reported, year not reported||MM98YY: Month and year reported, day not reported||9898YY: Year reported, month and day not reported||10183 : 123183: January 1, 1983 to December 31, 1983 (MMDDYY)||989898: Month, day, and year not reported","","","","","",
"DATE","7","Admin","1","Interview Status","1","1982 Metro","PUF","Date of interview","Flat File","Numeric","","","MMDD98: Month and day reported, year not reported||MM98YY: Month and year reported, day not reported||9898YY: Year reported, month and day not reported||10182 : 123182: January 1, 1982 to December 31, 1982 (MMDDYY)||989898: Month, day, and year not reported","","","","","",
"DATE","7","Admin","1","Interview Status","1","1981 Metro","PUF","Date of interview","Flat File","Numeric","","","MMDD98: Month and day reported, year not reported||MM98YY: Month and year reported, day not reported||9898YY: Year reported, month and day not reported||10181 : 123181: January 1, 1981 to December 31, 1981 (MMDDYY)||989898: Month, day, and year not reported","","","","","",
"HISTRY","8","Admin","1","Interview Status","1","2013 National, 2011 National, 2011 Metro, 2009 National, 2007 National, 2005 National, 2003 National, 2001 National, 1999 National, 1997 National","PUF","Status of unit","HOUSEHOLD","Character","NA","","1: Returning sample unit from a previous enumeration||8: Added unit within current sample unit / property","","","","","",
"HISTRY","8","Admin","1","Interview Status","1","1996 Metro","PUF","Status of unit","Flat File","Character","","","2: New construction||3: Mobile home moved in||4: House moved in||5: Unit resulted from conversion||6: Conversion of nonresidential unit||7: Sample redesign||8: Other","","","","","",
"HISTRY","8","Admin","1","Interview Status","1","1995 National, 1987 National","PUF","Status of unit","Flat File","Character","","","1: Control number preassigned||8: Assigned a new control number after sample selection||9: Not reported","","","","","",
"HISTRY","8","Admin","1","Interview Status","1","1995 Metro, 1989 Metro, 1986 Metro, 1984 Metro","PUF","Status of unit","Flat File","Character","","","1: In sample last enumeration period, record available||2: New construction||3: Mobile home moved in||4: House moved in||5: Unit resulted from conversion||6: Conversion of nonresidential unit||7: Sample redesign||8: Other","","","","","",
"HISTRY","8","Admin","1","Interview Status","1","1994 Metro","PUF","Status of unit","Flat File","Character","","","1: In sample last enumeration period, record available||2: New construction||3: Mobile home moved in||5: Unit resulted from conversion||6: Conversion of nonresidential unit||8: Other||9: Not applicable / Not reported","","","","","",
"HISTRY","8","Admin","1","Interview Status","1","1993 National","PUF","Status of unit","Flat File","Character","","","1: Control number preassigned||Blank: Not applicable / Not reported","","","","","",
"HISTRY","8","Admin","1","Interview Status","1","1993 Metro","PUF","Status of unit","Flat File","Character","","","1: In sample last enumeration period, record available||2: New construction||3: Mobile home moved in||4: House moved in||5: Unit resulted from conversion||6: Conversion of nonresidential unit||8: Other||9: Not applicable / Not reported","","","","","",
"HISTRY","8","Admin","1","Interview Status","1","1992 Metro, 1990 Metro, 1988 Metro, 1987 Metro, 1985 Metro","PUF","Status of unit","Flat File","Character","","","1: In sample last enumeration period, record available||2: New construction||3: Mobile home moved in||4: House moved in||5: Unit resulted from conversion||6: Conversion of nonresidential unit||7: Sample redesign||8: Other||9: Not applicable / Not reported","","","","","",
"HISTRY","8","Admin","1","Interview Status","1","1991 National","PUF","Status of unit","Flat File","Character","","","1: Control number preassigned||Blank: Not applicable","","","","","",
"HISTRY","8","Admin","1","Interview Status","1","1991 Metro","PUF","Status of unit","Flat File","Character","","","1: In sample last enumeration period, record available||2: New construction||3: Mobile home moved in||4: House moved in||5: Unit resulted from conversion||6: Conversion of nonresidential unit||8: Other","","","","","",
"HISTRY","8","Admin","1","Interview Status","1","1989 National","PUF","Status of unit","Flat File","Character","","","1: Control number preassigned||2: New construction||8: Assigned a new control number after sample selection||9: Not reported","","","","","",
"HISTRY","8","Admin","1","Interview Status","1","1985 National","PUF","Status of unit","Flat File","Character","","","1: Control number preassigned||7: Other||8: Assigned a new control number after sample selection||9: Not applicable / Not reported","","","","","",
"HISTRY","8","Admin","1","Interview Status","1","1983 National, 1981 National, 1980 National, 1979 National, 1978 National, 1977 National","PUF","Status of unit","Flat File","Character","","","0: In sample last enumeration period, no record available||1: In sample last enumeration period, record available||2: New construction||3: Mobile home moved in||4: House moved in||5: Unit resulted from conversion||6: Conversion of nonresidential unit||7: Other","","","","","",
"HISTRY","8","Admin","1","Interview Status","1","1983 Metro, 1982 Metro, 1981 Metro, 1980 Metro, 1979 Metro","PUF","Status of unit","Flat File","Character","","","1: In sample last enumeration period, record available||2: New construction||3: Mobile home moved in||4: House moved in||5: Unit resulted from conversion||6: Conversion of nonresidential unit||7: Other||8: Not reported||9: Not applicable / Not reported","","","","","",
"HISTRY","8","Admin","1","Interview Status","1","1978 Metro, 1977 Metro","PUF","Status of unit","Flat File","Character","","","1: In sample last enumeration period, record available||2: New construction||3: Mobile home moved in||4: House moved in||5: Unit resulted from conversion||6: Conversion of nonresidential unit||7: Other||8: Not reported","","","","","",
"HUHIS","9","Admin","1","Interview Status","1","2013 National, 2011 National","PUF","What happened to old unit","HOUSEHOLD","Character","NA","","1: Moved||2: Demolished||3: Lost to disaster (fire, tornado, etc.)||4: Wrong unit visited last enumeration period||5: Converted to storage, garage or office||6: Other||B: Not applicable","","","","","",
"HUHIS","9","Admin","1","Interview Status","1","2013 Metro","PUF","What happened to old unit","HOUSEHOLD","Character","NA","","1: Moved||2: Demolished||6: Other||B: Not applicable","","","","","",
"HUHIS","9","Admin","1","Interview Status","1","2011 Metro","PUF","What happened to old unit","HOUSEHOLD","Character","NA","","1: Moved||2: Demolished||3: Lost to disaster (fire, tornado, etc.)||4: Wrong unit visited last enumeration period||6: Other||B: Not applicable","","","","","",
"HUHIS","9","Admin","1","Interview Status","1","2009 National, 2007 National, 2007 Metro","PUF","What happened to old unit","HOUSEHOLD","Character","NA","","1: Moved||2: Demolished||3: Lost to disaster (fire, tornado, etc.)||4: Wrong unit visited last enumeration period||5: Converted to storage, garage or office||6: Other||D: Don't know||B: Not applicable","","","","","",
"HUHIS","9","Admin","1","Interview Status","1","2009 Metro","PUF","What happened to old unit","HOUSEHOLD","Character","NA","","1: Moved||2: Demolished||3: Lost to disaster (fire, tornado, etc.)||6: Other||D: Don't know||B: Not applicable","","","","","",
"HUHIS","9","Admin","1","Interview Status","1","2005 National, 2004 Metro, 2003 National","PUF","What happened to old unit","HOUSEHOLD","Character","NA","","1: Moved||2: Demolished||3: Lost to disaster (fire, tornado, etc.)||4: Wrong unit visited last enumeration period||5: Converted to storage, garage or office||6: Other||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HUHIS","9","Admin","1","Interview Status","1","2002 Metro","PUF","What happened to old unit","HOUSEHOLD","Character","NA","","1: Moved||2: Demolished||3: Lost to disaster (fire, tornado, etc.)||4: Wrong unit visited last enumeration period||5: Converted to storage, garage or office||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HUHIS","9","Admin","1","Interview Status","1","2001 National, 1999 National","PUF","What happened to old unit","HOUSEHOLD","Character","NA","","1: Moved||2: Demolished||3: Lost to disaster (fire, tornado, etc.)||4: Wrong unit visited last enumeration period||5: Other||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"ISTATUS","10","Admin","1","Interview Status","1","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2007 Metro, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Interview status","HOUSEHOLD","Character","NA","","1: Occupied interview||2: Usual Residence Elsewhere (URE) interview||3: Vacant interview","","","","","",
"ISTATUS","10","Admin","1","Interview Status","1","2009 National, 2009 Metro, 2007 National, 2005 National","PUF","Interview status","HOUSEHOLD","Character","NA","","1: Occupied interview||2: Usual Residence Elsewhere (URE) interview||3: Vacant interview||4: Noninterview","","","","","",
"ISTATUS","10","Admin","1","Interview Status","1","1996 Metro, 1995 Metro, 1994 Metro, 1993 Metro, 1992 Metro, 1991 Metro, 1990 Metro, 1989 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 Metro, 1984 Metro, 1983 Metro, 1982 Metro, 1981 Metro, 1980 Metro, 1979 Metro, 1978 Metro, 1977 Metro, 1976 Metro, 1974 Metro","PUF","Interview status","Flat File","Character","","","1: Occupied regular interview||2: Usual Residence Elsewhere (URE) interview||3: Vacant (interview with owner, neighbor, etc.)","","","","","",
"ISTATUS","10","Admin","1","Interview Status","1","1995 National, 1993 National, 1991 National, 1989 National, 1987 National, 1985 National, 1983 National, 1981 National, 1980 National, 1979 National, 1978 National, 1977 National, 1976 National, 1975 National, 1974 National, 1973 National","PUF","Interview status","Flat File","Character","","","1: Occupied interview||2: Usual Residence Elsewhere (URE) interview||3: Vacant interview","","","","","",
"LANG","11","Admin","1","Interview Status","1","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National","PUF","Language of interview","HOUSEHOLD","Character","NA","","1: English||2: Spanish||3: Other||D: Don't know||R: Refused||Blank: Not reported","","","","","",
"LANG","11","Admin","1","Interview Status","1","2009 Metro","PUF","Language of interview","HOUSEHOLD","Character","NA","","1: English||2: Spanish||3: Other||R: Refused||Blank: Not reported","","","","","",
"LANG","11","Admin","1","Interview Status","1","1996 Metro, 1995 National, 1995 Metro, 1994 Metro, 1993 Metro","PUF","Language of interview","Flat File","Character","","","1: English||2: Spanish||3: Other||8: Refused","","","","","",
"LANG","11","Admin","1","Interview Status","1","1991 National","PUF","Language of interview","Flat File","Character","","","1: English||2: Spanish||3: Other||Blank: Not reported","","","","","",
"NEWC","12","Admin","1","Interview Status","1","2013 National, 2013 Metro","PUF","New construction in last 4 years","HOUSEHOLD","Character","NA","","1: Yes||2: No","","","","","",
"NEWC","12","Admin","1","Interview Status","1","2011 National","PUF","New construction in last 4 years","HOUSEHOLD","Character","NA","","1: Yes||Blank: Not applicable / Not reported","","","","","",
"NEWC","12","Admin","1","Interview Status","1","2011 Metro","PUF","New construction in last 4 years","HOUSEHOLD","Character","NA","","1: Yes||Blank: Not applicable","","","","","",
"NEWC","12","Admin","1","Interview Status","1","1980 National","PUF","Protective window coverings installed in past 12 months","Flat File","Character","","","1: Yes||2: No||8: Not reported||9: Not applicable","","","","","",
"PERSINT","13","Admin","1","Interview Status","1","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Personal / telephone interview","HOUSEHOLD","Character","NA","","1: Personal visit||2: Telephone interview||B: Not applicable","","","","","",
"PERSINT","13","Admin","1","Interview Status","1","2009 National, 2007 Metro","PUF","Personal / telephone interview","HOUSEHOLD","Character","NA","","1: Personal visit||2: Telephone interview||Blank: Not reported","","","","","",
"PERSINT","13","Admin","1","Interview Status","1","2009 Metro, 2007 National, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Personal / telephone interview","HOUSEHOLD","Character","NA","","1: Personal visit||2: Telephone interview","","","","","",
"PERSINT","13","Admin","1","Interview Status","1","1996 Metro, 1995 Metro, 1994 Metro, 1993 Metro, 1992 Metro, 1991 Metro, 1990 Metro, 1989 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 Metro, 1984 Metro","PUF","Personal / telephone interview","Flat File","Character","","","1: Personal visit||2: Telephone||8: Not reported","","","","","",
"PERSINT","13","Admin","1","Interview Status","1","1995 National","PUF","Personal / telephone interview","Flat File","Character","","","1: Personal visit||2: Telephone interview||8: Not reported","","","","","",
"PERSINT","13","Admin","1","Interview Status","1","1993 National, 1991 National, 1989 National, 1987 National, 1985 National","PUF","Personal / telephone interview","Flat File","Character","","","1: Personal visit||2: Telephone interview||Blank: Not applicable / Not reported","","","","","",
"PERSINT","13","Admin","1","Interview Status","1","1983 National, 1981 National","PUF","Personal / telephone interview","Flat File","Character","","","1: Personal visit||2: Telephone interview||8: Not reported||9: Not applicable","","","","","",
"RESPTYP","14","Admin","1","Interview Status","1","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Type of respondent","HOUSEHOLD","Character","NA","","1: Owner||2: Manager||3: Neighbor||4: Real estate agent||5: URE occupant||6: Regular occupant (non-owner)||7: Other||D: Don't know||R: Refused||Blank: Not reported","","","","","",
"RESPTYP","14","Admin","1","Interview Status","1","2009 National, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National","PUF","Type of respondent","HOUSEHOLD","Character","NA","","1: Owner||2: Manager||3: Neighbor||4: Real estate agent||5: URE occupant||6: Other||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"RESPTYP","14","Admin","1","Interview Status","1","2009 Metro","PUF","Type of respondent","HOUSEHOLD","Character","NA","","1: Owner||2: Manager||3: Neighbor||4: Real estate agent||5: URE occupant||6: Other||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"RESPTYP","14","Admin","1","Interview Status","1","1999 National","PUF","Type of respondent","HOUSEHOLD","Character","NA","","1: Owner||2: Manager||3: Neighbor||4: Real estate agent||5: URE occupant||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"REUAD","15","Admin","1","Interview Status","1","2013 National","PUF","Reason unit was added to sample","HOUSEHOLD","Character","JREUAD","","03: New construction||04: Mobile home moved in||06: Building relisted due to structural changes||07: Unit created when original living quarters split into more units||08: Unit created when original living quarters merged to fewer units||09: Conversion of nonresidential unit||10: Other, specify||11: Sample adjustment||D: Don't know||B: Not applicable","","","","","",
"REUAD","15","Admin","1","Interview Status","1","2013 Metro, 2009 Metro","PUF","Reason unit was added to sample","HOUSEHOLD","Character","JREUAD","","03: New construction||04: Mobile home moved in||06: Building relisted due to structural changes||07: Unit created when original living quarters split into more units||08: Unit created when original living quarters merged to fewer units||09: Conversion of nonresidential unit||10: Other||11: Sample adjustment||D: Don't know||B: Not applicable","","","","","",
"REUAD","15","Admin","1","Interview Status","1","2011 National","PUF","Reason unit was added to sample","HOUSEHOLD","Character","JREUAD","","03: New construction||04: Mobile home moved in||07: Unit created when original living quarters split into more units||08: Unit created when original living quarters merged to fewer units||09: Conversion of nonresidential unit||10: Other, specify||11: Sample adjustment||D: Don't know||B: Not applicable","","","","","",
"REUAD","15","Admin","1","Interview Status","1","2011 Metro","PUF","Reason unit was added to sample","HOUSEHOLD","Character","JREUAD","","03: New construction||04: Mobile home moved in||07: Unit created when original living quarters split into more units||08: Unit created when original living quarters merged to fewer units||09: Conversion of nonresidential unit||10: Other||11: Sample adjustment||D: Don't know||B: Not applicable","","","","","",
"REUAD","15","Admin","1","Interview Status","1","2009 National","PUF","Reason unit was added to sample","HOUSEHOLD","Character","JREUAD","","03: New construction||04: Mobile home moved in||06: Building relisted due to structural changes||07: Unit created when original living quarters split into more units||08: Unit created when original living quarters merged to fewer units||09: Conversion of nonresidential unit||10: Other, specify||11: Sample adjustment||D: Don't know||R: Refused||B: Not applicable","","","","","",
"REUAD","15","Admin","1","Interview Status","1","2007 National, 2005 National","PUF","Reason unit was added to sample","HOUSEHOLD","Character","JREUAD","","03: New construction||04: Mobile home moved in||05: House moved in||06: Building relisted due to structural changes||07: Unit created when original living quarters split into more units||08: Unit created when original living quarters merged to fewer units||09: Conversion of nonresidential unit||10: Other, specify||11: Sample adjustment||D: Don't know||B: Not applicable","","","","","",
"REUAD","15","Admin","1","Interview Status","1","2007 Metro","PUF","Reason unit was added to sample","HOUSEHOLD","Character","JREUAD","","R: Not reported||03: New construction||04: Mobile home moved in||05: House moved in||06: Building relisted due to structural changes||07: Unit created when original living quarters split into more units||08: Unit created when original living quarters merged to fewer units||09: Conversion of nonresidential unit||10: Other||11: Sample adjustment||D: Don't know||B: Not applicable","","","","","",
"REUAD","15","Admin","1","Interview Status","1","2004 Metro","PUF","Reason unit was added to sample","HOUSEHOLD","Character","JREUAD","","03: New construction||11: Sample adjustment||Blank: Not reported||B: Not applicable","","","","","",
"REUAD","15","Admin","1","Interview Status","1","2003 National, 2001 National, 1999 National","PUF","Reason unit was added to sample","HOUSEHOLD","Character","JREUAD","","03: New construction||04: Mobile home moved in||05: House moved in||06: Building relisted due to structural changes||07: Unit created when original living quarters split into more units||09: Conversion of nonresidential unit||10: Other, specify||11: Sample adjustment||D: Don't know||B: Not applicable","","","","","",
"REUAD","15","Admin","1","Interview Status","1","2002 Metro","PUF","Reason unit was added to sample","HOUSEHOLD","Character","JREUAD","","03: New construction||11: Sample adjustment||B: Not applicable","","","","","",
"REUAD","15","Admin","1","Interview Status","1","1998 Metro","PUF","Reason unit was added to sample","HOUSEHOLD","Character","NA","","03: New construction||10: Other||11: Sample adjustment","","","","","",
"REUAD","15","Admin","1","Interview Status","1","1997 National","PUF","Reason unit was added to sample","HOUSEHOLD","Character","NA","","03: New construction||04: Mobile home moved in||05: House moved in||06: Building relisted due to structural changes||07: Unit created when original living quarters split into more units||08: Unit created when original living quarters merged to fewer units||09: Conversion of nonresidential unit||10: Other, specify||D: Don't know||B: Not applicable","","","","","",
